Image,Critical,High,Medium,Low,Total
reg.mini.dev/python:3.11,       0,       0,       0,       0,0
reg.mini.dev/node:18,       0,       0,       0,       0,0
reg.mini.dev/openjdk:17,       0,       0,       0,       0,0
python-chainguard:latest,       0,       0,       0,       0,0
cgr.dev/chainguard/node:latest,       0,       0,       0,       0,0
cgr.dev/chainguard/jdk:latest,       0,       0,       0,       0,0
dhi.io/python:3-debian13-sfw-ent-dev,       0,       0,       0,       0,0
dhi.io/node:25-debian13-sfw-ent-dev,       0,       0,       0,       0,0
dhi.io/amazoncorretto:8-alpine3.22-dev,       0,       0,       0,       0,0
